my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,,Endogeic,Epi-endogeic,Epigeic,Endogeic,Endogeic,Anecic,Endogeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epi-endogeic,Anecic,Endogeic,Endogeic,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Unknown,row.totals,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Follow.Fox,Fox.epiendo,Fox.noepiendo,,
49,CBF-SM-4,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.75565,-75.39803333,US,New York,40,529,,deciduous forest,,,,,,5.68,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
50,CBP-OF-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.80131667,-75.62375,US,New York,302.655,462,,old field,,,,,,6.1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,1,0,Y,Y,Y,,
51,CBP-OF-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.80673333,-75.62226667,US,New York,20,482,,old field,,,,,,6.35,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,,
52,CBP-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,June,42.80138333,-75.62123333,US,New York,254.951,459,,plantation,,,,,,5.4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,Y,Y,Y,,
53,CBP-PP-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,June,42.80625,-75.62026667,US,New York,20,466,,plantation,,,,,,6.15,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
54,CBP-SM-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,June,42.80268333,-75.62493333,US,New York,460,469,,deciduous forest,,,,,,5.83,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,0,2,1,1,0,2,1,N,N,N,,
55,CBP-SM-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,June,42.80415,-75.62465,US,New York,358.469,481,,deciduous forest,,,,,,5.9,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,1,0,Y,Y,Y,,
56,CBP-YD-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.80723333,-75.6241,US,New York,22.361,495,,yard,,,,,,5.91,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,1,0,1,1,1,0,1,Y,Y,Y,,
57,CBP-YD-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.80238333,-75.62243333,US,New York,384.838,456,,yard,,,,,,7.43,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,1,1,1,0,1,Y,Y,Y,,
59,CGC-OF-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.81283333,-75.53835,US,New York,300.832,394,,old field,,,,,,6.27,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,1,0,Y,Y,Y,,
60,CGC-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,June,42.8122,-75.53883333,US,New York,278.568,391,,plantation,,,,,,5.49,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,1,0,Y,Y,Y,,
65,CGC-YD-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.82188333,-75.54235,US,New York,60,340,,yard,,,,,,7.03,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,Y,Y,Y,,
66,CGC-YD-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.8174,-75.53415,US,New York,250,378,,yard,,,,,,7.21,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,Y,Y,Y,,
67,CPF-MF-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.81173333,-75.56465,US,New York,411.461,398,,deciduous forest,,,,,,4.54,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
68,CPF-OF-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.81278333,-75.56076667,US,New York,348.855,359,,old field,,,,,,6.39,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
