my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,lum.spp.richness,native.spp.richness,jumping.spp.richness,spp.richness,Max.pack.num,Dendrobaena.octaedra,Lumbricus.unknown,Aporrect.unknown,Dendrobaena.unknown,Lumbricus.rubellus,en.Dendrobaena.aplina,a.Lumbricus.terrestris,Octalasion.tyrtaeum,Octalasian.unknown,Aporrectodea.caliginosa,Apporectodea.rosea,Aporrectodea.turgida (APTU),Bimastos.rubidus,Unknown,Lumbricus.castaneus,Dendrodrilus.unknown,Octolasion.cyaneum,Amynthas.agrestis,Eisenia.fetida,Allolobophora.chlorotica,Aporrectodea.longa,endo.unknown,Amynthas.unknown,Eisenoides.lonnbergi,Eisenia.teteadra,Amynthas.tokioensis,epi.unknown,epi/endo.unknown,Dendrodrilus.terrestris,Lumbricus.octaedra,anecic.unknown,row.totals
247,E450,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37806,-91.2577,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.7,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,199,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
248,F50,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37373,-91.2654,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,3.9,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,200,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
249,F100,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37409,-91.2656,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,201,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
251,F200,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37491,-91.2657,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.2,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,202,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
253,F450,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37708,-91.2663,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,203,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
254,F500,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.37751,-91.2663,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,204,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
259,G250,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.38786,-91.3149,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,205,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
261,G350,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.38818,-91.316,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,206,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
262,G450,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.38873,-91.3172,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,207,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
264,H50,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.29948,-91.2137,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.5,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,208,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
265,H100,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.29966,-91.2131,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,209,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
266,H150,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.29965,-91.2125,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,210,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
277,H400,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,June,46.29973,-91.2094,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,3.9,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,211,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
311,M50,"Holdsworth et al., 2007",N,0.24,2,0.12,hand sorting/mustard,2,50,,2001,July,46.42106,-91.3118,US,Wisconsin,,,,hardwood forest,,"maple, aspen, and birch",,,870,4.5,"Corning 240 pH meter (Corning, Corning, New York, USA)",,19,-15,,,,,,,,,,3,212,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
